housename,location,houseprice,time_of_completion
"
保利湾天地
","
                              ［江干-下沙沿江］24号大街                            ",17449,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
华元欢乐城(公寓)
","
                              ［余杭-临平］迎宾路                            ",22281,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
华瑞晴庐
","
                              ［萧山-经开区］建设二路,近育才路                            ",33413,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东海水景城
","
                              ［余杭-临平］世纪大道西501号                            ",24339,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
君临天下
","
                              ［余杭-临平］东湖南路364号                            ",24562,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
德信泊林春天
","
                              ［萧山-钱江世纪城］鸿宁路                            ",30000,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
龙湖香醍溪岸(公寓)
","
                              ［余杭-崇贤北］304省道,近宏达路                            ",17286,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都御景蓝湾
","
                              ［萧山-临浦新城］时代大道                            ",23283,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
崇化小区
","
                              ［萧山-湘湖闻堰］崇明路                            ",24386,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
野风启城
","
                              ［余杭-运河镇］康信路,近兴盛路                            ",17901,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
昆仑华府
","
                              ［余杭-良渚］新104国道,近东西大道                            ",18511,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
复地连城国际
","
                              ［余杭-乔司］杭海路1636号                            ",24698,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
众安理想湾(公寓)
","
                              ［余杭-临平北］新洲路                            ",18983,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
越秀星汇城
","
                              ［临安-临安］青山湖科技城大园路123号                            ",17415,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
竹海水韵
","
                              ［余杭-闲林］闲水路                            ",24181,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
钱塘明月
","
                              ［萧山-萧山市区］金惠路300号                            ",44918,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
钱塘梧桐蓝山
","
                              ［余杭-临平］世纪大道,近南苑街                            ",26897,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中国铁建江南国际城
","
                              ［萧山-萧山市区］金城路,近风情大道                            ",36241,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
康城国际
","
                              ［余杭-临平］世纪大道676号                            ",25546,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
保利罗兰香谷
","
                              ［江干-长睦］华鹤路656号                            ",24557,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科大家世纪之光
","
                              ［萧山-钱江世纪城］振宁路                            ",40992,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中铁逸都
","
                              ［余杭-临平北］北沙西路28号                            ",22494,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
恒大帝景
","
                              ［萧山-南部卧城］晨晖路                            ",28517,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
